,conversation_id_str,created_at,favorite_count,Tweet,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,predicted_sentiment
0,1842893064366661833,Sun Oct 06 11:42:00 +0000 2024,17,keterangan 1 mba yenny raut wajahnya memancarkan keceriaan 2 mba puanmaharani ri senyuman yg terpancar kebahagiaan 3 mas didit prabowo senyuman kecil yg memiliki a i 4 gibran tweet gw bingung baca raut wajah nih orang bila gw bilang senyum bahagia ga juga  t co 2tfr3my6pm,1842893064366661833,https://pbs.twimg.com/media/GZNFWNKakAEZ1Oh.jpg,,in,"Grindelwald, Switzerland",2,6,3,https://x.com/PenculikBangsat/status/1842893064366661833,164370154,PenculikBangsat,positive
1,1748028724703068217,Thu Jan 18 17:04:59 +0000 2024,23540, terima kasih pak prabowo pake pose jari itu uang negara untuk bantuan ke palestina jangan dipersonalisasi seakan akan itu bantuan pribadi apalagi pake unsur unsur kampanye bener bener a is tolol  t co u7ywvsl9k7,1748028724703068217,https://pbs.twimg.com/amplify_video_thumb/1748028593048031232/img/s0cpGLhDAH-o4i43.jpg,,in,,1829,959,5405,https://x.com/cinnamongirlc/status/1748028724703068217,58184629,cinnamongirlc,positive
2,1844529529307660750,Fri Oct 11 00:04:44 +0000 2024,3171,penghinaan tidak bisa ditoleransi apalagi menghina seorang pemimpin saya setuju dengan pak prabowo penghinaan termasuk perbuatan tercela tidak ada satupun pejabat yang dibolehkan melakukan perbuatan tercela apalagi menghina pemimpin negara apalagi menghina anak  t co uzyzrbnfoa,1844529529307660750,https://pbs.twimg.com/ext_tw_video_thumb/1844529476056776704/pu/img/wXCbmzfDvoOaTzwl.jpg,,in,,34,419,1134,https://x.com/DokterTifa/status/1844529529307660750,1502822366946402304,DokterTifa,negative
3,1843502891933536399,Tue Oct 08 11:59:26 +0000 2024,12, tempodotco apa dia takut ada yg akan mempermalukan nya karna ulah anaknya fufufafa klau benar gibran akan jadi gibran rakabuming neraka untuk mulyono keluarga se a para penjilatnya ingat yg diserang sama fufufafa bukan hanya prabowo tapi jg anak dan cucu suha o karma menanti  t co 3yfbqficjj,1843622227088179533,https://pbs.twimg.com/media/GZXcnz6asAEiEFT.jpg,tempodotco,in,"Jakarta Utara, DKI Jakarta",0,1,5,https://x.com/Tino_priok/status/1843622227088179533,935721833864802306,Tino_priok,negative
4,1843781150390792403,Wed Oct 09 03:03:21 +0000 2024,59, dedynurpalakka ingat yg dihina itu bukan cuma pak prabowo tapi anak dan cucu pak suha o jika akhirnya terbukti fufufafa adalah gibran apa ga jadi gibran rakabuming neraka buat jokowi keluarga dan para penjilat termasuk lu ded karma akan menghukum orang yg bejad dan tak bermoral  t co 6drwphuqtw,1843849703659843913,https://pbs.twimg.com/media/GZarNh2a8AAYBId.jpg,DedynurPalakka,in,"Jakarta Utara, DKI Jakarta",0,10,13,https://x.com/Tino_priok/status/1843849703659843913,935721833864802306,Tino_priok,positive
5,1845146264511578604,Sat Oct 12 16:55:25 +0000 2024,479,coach justin erick thohir aja cuma ngejadiin tragedi kanjuruhan sebagai baliho doang tanpa ada tindakan untuk keadilan dan tau apa idola coach mulyono gak ada kemauan untuk memberantas tragedi ini para pelaku sekarang lagi hidup bahagia di atas penderitaan 754 korban  t co 8uix3auwh4,1845146264511578604,https://pbs.twimg.com/ext_tw_video_thumb/1845145960915271686/pu/img/cntvhnNuCLU3BgW8.jpg,,in,,3,9,131,https://x.com/MardaniJgMw/status/1845146264511578604,1815395503401836544,MardaniJgMw,positive
6,1757685652555219319,Wed Feb 14 08:38:10 +0000 2024,50740,masalahnya kalau prabowo menang terus indonesia chaos mau kita demo mati2an juga kalo prabowo mundur gibran yang naik  t co hwfanwndwi,1757685652555219319,https://pbs.twimg.com/media/GGSNyCqboAARQhj.jpg,,in,Bandung-Jakarta,2312,725,9309,https://x.com/ahnafau/status/1757685652555219319,1250114172345405441,ahnafau,neutral
7,1758421800286072885,Fri Feb 16 09:23:21 +0000 2024,37632,saat lihat prabowo  t co vihw0zcemj,1758421800286072885,https://pbs.twimg.com/media/GGcrTboboAALBx9.jpg,,in,"Dongo, Lombardia",1454,840,7062,https://x.com/_devalo/status/1758421800286072885,74095785,_devalo,neutral
8,1796687006116073936,Fri May 31 23:35:37 +0000 2024,18547,belum  t co w19vzjxsov,1796687006116073936,https://pbs.twimg.com/media/GO8dRMtbwAEofdE.jpg,,in,,1830,590,3271,https://x.com/DidGemoyDieYet/status/1796687006116073936,1748155327193956352,DidGemoyDieYet,neutral
9,1757751580907212917,Wed Feb 14 13:00:08 +0000 2024,28047,serba serbi pemilu2024 selamat prabowo gibran  t co lboag1k5oa,1757751580907212917,https://pbs.twimg.com/media/GGTJvtVaMAAodbm.jpg,,in,,582,429,3762,https://x.com/ARSIPAJA/status/1757751580907212917,2993008392,ARSIPAJA,neutral
